gene	log2FC	p	padj	n
OSBPL10	-0.940424847468651	7.06274653757256e-05	0.999985773528133	6
PRSS12	-0.861451938598447	8.61000839253778e-05	0.999985773528133	6
MTRR	-0.541056486087011	0.000107528691578692	0.999985773528133	6
LYZ	1.26918854969429	0.000110988970411492	0.999985773528133	6
COL11A1	-1.14617815745631	0.000192330659583351	0.999985773528133	6
COL11A1	-1.39630155871703	0.000289540349877485	0.999985773528133	6
EDIL3	-1.2948548307092	0.000331516540496474	0.999985773528133	6
RGS4	-1.207254184543	0.000343939472339268	0.999985773528133	6
TOX	-1.80483159245347	0.000350852596316464	0.999985773528133	6
PAXIP1-DT	0.613462506373991	0.00035527849321766	0.999985773528133	6
SERTAD4	-1.08285273688031	0.000373679300777058	0.999985773528133	6
CLCN5	-0.654313931680315	0.000409288389757831	0.999985773528133	6
MYO10	-0.702141891171181	0.000414936772665354	0.999985773528133	6
NLGN1	-0.665809092387112	0.000421891833296531	0.999985773528133	6
ACAN	-1.61730351740864	0.000492258605002896	0.999985773528133	6
EPHA5	-2.50148264248789	0.000495725248021782	0.999985773528133	6
GALNT1	-0.694720404423917	0.000512449348152769	0.999985773528133	6
PDE5A	-0.583608971406076	0.000537248812284458	0.999985773528133	6
TOX-DT	-1.61114038099866	0.000662100030681322	0.999985773528133	6
ACAN	-1.20555565361065	0.000691232678821888	0.999985773528133	6
RGS4	-1.10776471403484	0.000726685901782174	0.999985773528133	6
THAP7-AS1	0.479773960680765	0.000780923317974958	0.999985773528133	6
FMN2	-0.665543152011984	0.000781101275789418	0.999985773528133	6
NTN4	-2.02618962024698	0.000844241686381443	0.999985773528133	6
UNC13A	-0.430061862526362	0.000850126377987716	0.999985773528133	6
TBX3	0.677032432625821	0.000851385495377404	0.999985773528133	6
GREM1	-0.680742135193309	0.000904264830191602	0.999985773528133	6
SEMA3A	-0.787469807823677	0.000997223321668039	0.999985773528133	6
CTSB	-0.696218839791978	0.000998348150148095	0.999985773528133	6
KANK4	0.918801656091891	0.00101163392357543	0.999985773528133	6
SHC4	0.655992673016045	0.00101578542101212	0.999985773528133	6
LINC00968	-1.04554717060105	0.00103247981688226	0.999985773528133	6
TBX3	0.90390308315642	0.00103420866540865	0.999985773528133	6
CDHR5	0.387998136968374	0.00108369911335	0.999985773528133	6
MYO1B	-0.516524056419765	0.00111146251699635	0.999985773528133	6
TBX3	0.631415373586344	0.0012154735369391	0.999985773528133	6
PSEN2	-0.611991271474602	0.00125719162364401	0.999985773528133	6
PPP1R3E	0.497848357007325	0.00128738066086021	0.999985773528133	6
LAPTM5	0.51727028883403	0.00133926963583423	0.999985773528133	6
OSBPL11	-0.816972084116774	0.00150223003206837	0.999985773528133	6
KLHL13	-0.988635648778208	0.00154233553253661	0.999985773528133	6
MFAP5	-0.548559933816777	0.00155451016056055	0.999985773528133	6
GALNT1	-0.589066579134557	0.00158167746264914	0.999985773528133	6
PCDHB3	-0.862253698827517	0.00170863662224834	0.999985773528133	6
SBSPON	-1.73391283842591	0.00171668347972739	0.999985773528133	6
CAP2	-0.677644337204773	0.00178259888891083	0.999985773528133	6
DLC1	-0.414027053971134	0.00179290626742276	0.999985773528133	6
MASP1	0.626854371016654	0.00180135474941347	0.999985773528133	6
MYOCD	-1.1322824088355	0.00181076266923654	0.999985773528133	6
CST2	-0.377794242355195	0.00190861098724368	0.999985773528133	6
MFAP5	-0.550975379678065	0.00195165623796772	0.999985773528133	6
DLC1	-0.483011827026739	0.00197367843750115	0.999985773528133	6
WNT5A	-0.754347342619347	0.00197597781532936	0.999985773528133	6
F11R	0.989428730948587	0.00198502751954981	0.999985773528133	6
RAB3B	-0.787613831313433	0.00215156085320392	0.999985773528133	6
ACAN	-1.53575083834909	0.00228884660547624	0.999985773528133	6
MMP14	0.462476588216012	0.00231448465663429	0.999985773528133	6
ZNF682	0.34072780414245	0.00249859603732473	0.999985773528133	6
TNC	1.30596606261935	0.00252056214863672	0.999985773528133	6
DBP	0.476823988922	0.0025464017878977	0.999985773528133	6
LAMA4	0.513194997312523	0.00258629861720947	0.999985773528133	6
APOC1	0.728423314317868	0.00259936860745189	0.999985773528133	6
PSEN2	-0.508001249235381	0.00260892192800333	0.999985773528133	6
GAS6-AS1	0.851757986969454	0.00273673940366803	0.999985773528133	6
LINC00663	0.462192210917046	0.00274997538198862	0.999985773528133	6
DNHD1	0.430270256760521	0.00281784780888424	0.999985773528133	6
RARA-AS1	0.39194093394028	0.00282271002867785	0.999985773528133	6
ABHD6	0.404073522645664	0.00286320925984153	0.999985773528133	6
FAM83H	0.671062090214117	0.00294426907299503	0.999985773528133	6
SLC25A4	-0.454335930551335	0.00305221285060852	0.999985773528133	6
EPHA5	-1.05007116355883	0.0030748579759928	0.999985773528133	6
FMN2	-0.679184503569788	0.00316645120203472	0.999985773528133	6
ANXA2R	0.387239743626185	0.00318399827297004	0.999985773528133	6
PCDH7	-0.474212667849722	0.00320391719440286	0.999985773528133	6
PRSS12	-0.490936018562573	0.0032058370350751	0.999985773528133	6
ANKRD1	-1.77283696901707	0.00323238111165413	0.999985773528133	6
MMP14	0.415652225470221	0.00329617348513856	0.999985773528133	6
PLCE1	-0.516721948981544	0.00333354952825782	0.999985773528133	6
