gene	log2FC	p	padj	n
ENSG00000279457	-0.857234574371963	0.259844727024781	NA	6
ENSG00000228463	1.56362263199417	0.199683761012362	NA	6
ENSG00000225972	1.79101445584147	0.0183527796575367	0.212594335913848	6
ENSG00000225630	0.677912473687156	0.390086778043941	0.701407767687192	6
ENSG00000237973	0.480365757313711	0.306785572682847	0.636565780182583	6
ENSG00000229344	0.749068768301111	0.134750620178005	0.453726302183402	6
ENSG00000240409	-0.233673347641215	0.88413857061426	NA	6
ENSG00000248527	0.671989265148518	0.217663299646985	0.549102817856012	6
ENSG00000198744	0.82531576402993	0.117145264291906	0.431548396066584	6
ENSG00000228327	-1.3050357951225	0.144887750498013	0.467444781106923	6
ENSG00000237491	0.216279316625332	0.814974157436449	NA	6
ENSG00000177757	1.71704659204776	0.0450424319608329	NA	6
ENSG00000228794	0.944058621697205	0.00775356209365438	0.142722594083016	6
ENSG00000272438	-2.84772439008059	0.194747430701375	NA	6
ENSG00000230699	-1.34641962887578	0.238297830553905	0.567802952846036	6
ENSG00000223764	-0.846704656846333	0.364908862610917	0.683696981885542	6
ENSG00000187634	-1.34734872103716	0.363872010645894	0.683612875876141	6
ENSG00000188976	0.25593521530627	0.0257690992891425	0.244893022383134	6
ENSG00000187961	-0.341275604711748	0.363887524916779	0.683612875876141	6
ENSG00000187583	0.251421793957231	0.838339600885803	NA	6
ENSG00000187642	1.36262837874583	0.295470494797398	NA	6
ENSG00000188290	-0.630844896165571	0.248945292334464	0.577782845081708	6
ENSG00000187608	-0.389987190448982	0.15977700413202	0.485005044542798	6
ENSG00000188157	-0.494499681175894	0.268564841088207	0.59802353545149	6
ENSG00000131591	-0.377777788593355	0.182903954927371	0.510942148824763	6
ENSG00000078808	-0.235626311428846	0.282050144323748	0.612059435799211	6
ENSG00000176022	-0.0754425697172117	0.671642453737389	0.865535259508993	6
ENSG00000184163	0.253346446671726	0.751195665795348	0.905401412690158	6
ENSG00000160087	0.00915410665537967	0.943419088003485	0.97930011023355	6
ENSG00000230415	-0.311787221998713	0.671040743590525	0.865261570496294	6
ENSG00000162572	-0.329824261274347	0.422093673373824	0.721233207811929	6
ENSG00000131584	0.070018694820441	0.803288259115872	0.92797297470235	6
ENSG00000169972	-0.211201198704938	0.35793123567853	0.679419413283255	6
ENSG00000127054	-0.0157479022299093	0.915665030125661	0.967617583274401	6
ENSG00000240731	0.541821008772755	0.362384393336088	0.682646641370066	6
ENSG00000224051	-0.0436981010106535	0.782283976970504	0.919098533176942	6
ENSG00000169962	0.956526450157646	0.436398005895191	NA	6
ENSG00000107404	-0.0149593115612615	0.933731661961179	0.975606320380967	6
ENSG00000162576	-0.70794829668811	0.00985668352905432	0.157543541158304	6
ENSG00000175756	0.406973124727849	0.0828827861709072	0.387093216589854	6
ENSG00000221978	-0.175449561494762	0.325324701780493	0.652975694441566	6
ENSG00000224870	-0.050500243269548	0.777121414839998	0.917065755189703	6
ENSG00000242485	0.314313721210515	0.114839435956805	0.429263032390039	6
ENSG00000272455	-0.182708536894628	0.664918208552929	0.86237326286919	6
ENSG00000235098	-0.0611374186387127	0.925101443259428	0.971762535637199	6
ENSG00000179403	0.799671473637921	0.0676385961881892	0.358397016655197	6
ENSG00000160072	-0.281751090012624	0.474761446862046	0.756046776084714	6
ENSG00000197785	0.35060131333265	0.143457997923833	0.465638114544667	6
ENSG00000205090	-0.946795598444693	0.10105830684085	0.415397993868966	6
ENSG00000160075	0.0770998384026563	0.550010312204526	0.802788630883229	6
ENSG00000215014	-0.171742712326315	0.709177598060664	0.882692224624684	6
ENSG00000228594	-0.578162713292559	0.00976171139704853	0.156420153987537	6
ENSG00000272106	0.232547312170384	0.467564165402076	0.751539448702249	6
ENSG00000197530	-0.542066290550917	0.0138072382791789	0.183892268064086	6
ENSG00000248333	-0.00369135664155868	0.980990789893882	0.99382446493737	6
ENSG00000189339	-0.00655696002556781	0.975207694467976	0.99139424314437	6
ENSG00000269737	-1.03521283117543	0.134751858899637	0.453726302183402	6
ENSG00000008128	0.185590075207262	0.743666433822749	0.902857711173756	6
ENSG00000268575	0.119915471186759	0.836220480315582	0.941637564443835	6
ENSG00000227775	-0.25341165424965	0.586815876685192	0.82279691927422	6
ENSG00000215790	0.119813389712378	0.774683126217381	0.915919911062499	6
ENSG00000008130	0.343383897833485	0.0998444311514409	0.41390101370151	6
ENSG00000078369	0.035614643552361	0.777498949485702	0.917252101918575	6
ENSG00000231050	0.853973437425883	0.3806898623923	NA	6
ENSG00000169885	-0.784093842006571	0.228836904306555	0.5591178776771	6
ENSG00000178821	0.954023474264035	0.301173913848964	NA	6
ENSG00000067606	-1.72628477155061	0.0224460942574622	0.232640831687768	6
ENSG00000182873	-0.45270855134714	0.384685011507883	0.698313270014952	6
ENSG00000162585	-0.108641882596915	0.586608421622644	0.822783241853212	6
ENSG00000157933	-0.399751388166874	0.281310959362151	0.611308086994969	6
ENSG00000116151	-0.291729346151849	0.206292788434658	0.536404924774711	6
ENSG00000269896	-0.953740932461156	0.100888765178635	0.415328531326813	6
ENSG00000272420	0.213513823555535	0.862015881913422	NA	6
ENSG00000157916	-0.0164240385607638	0.885508238876605	0.957725947078535	6
ENSG00000157911	0.485015741762459	0.00856581689923716	0.149058628077665	6
ENSG00000149527	-0.486489917591579	0.61358487813668	NA	6
ENSG00000157881	0.164846611508624	0.509866654313109	0.777127518527064	6
ENSG00000157873	-0.541493428014675	0.143048052024164	0.465380827777243	6
ENSG00000157870	0.401767065771781	0.13743760360609	0.457809782126476	6
ENSG00000215912	0.206119961015534	0.768296476164412	0.913178752759067	6
ENSG00000177133	-1.56440700677827	0.392447924879017	NA	6
ENSG00000142611	-2.95291430185877	5.74935572325877e-05	0.00733137106448661	6
ENSG00000272235	-4.11184442734016	0.117370804817333	NA	6
ENSG00000130762	0.825247960765463	0.497201488285645	NA	6
ENSG00000162591	-0.311643167697103	0.621768938362997	0.839458198468687	6
ENSG00000158109	0.148269185025031	0.203777022795054	0.533910050543052	6
ENSG00000116213	-0.111769978176365	0.496484449396735	0.769161713602465	6
ENSG00000078900	1.03972174594567	0.554338215674524	NA	6
ENSG00000227372	-0.197331042736861	0.351350381775299	0.675393289173152	6
ENSG00000130764	0.153998039164981	0.427713805667178	0.724597800139288	6
ENSG00000272153	-0.135013483828781	0.910931253892465	NA	6
ENSG00000116198	0.436940671951279	0.0413583913953021	0.294175834036495	6
ENSG00000169598	-0.307775419085519	0.289658205204747	0.619070297893976	6
ENSG00000198912	0.141091826035001	0.310910735328809	0.639201573874757	6
ENSG00000236423	0.526642975125327	0.404658070387544	0.710780412744628	6
ENSG00000131697	-0.32393840509709	0.318128050415632	0.646352899029918	6
ENSG00000069424	-0.540293167513551	0.161820005846402	0.487213824453741	6
ENSG00000116254	-0.428578070196958	0.778287748585852	NA	6
ENSG00000116251	-0.206531578603297	0.113409476225454	0.428908775796939	6
ENSG00000226944	0.59477467958431	0.590522015900462	NA	6
ENSG00000158286	0.362152220993498	0.332199167293629	0.658095306963834	6
ENSG00000116237	-0.0222716745231612	0.870686599991749	0.95342235771603	6
ENSG00000158292	-0.0117026839945321	0.970281956684224	0.989605606081853	6
ENSG00000097021	-0.473799530461714	0.128196958095773	0.444878975203047	6
ENSG00000069812	0.547640518062964	0.481129736098482	0.760505684411065	6
ENSG00000187017	-0.25893238086835	0.840944858966418	NA	6
ENSG00000171680	-1.77163832698496	0.0314189024285007	0.263131873432773	6
ENSG00000162408	0.0753847015594628	0.590339389784426	0.824428696437023	6
ENSG00000229519	-0.326999738489632	0.828584710795765	NA	6
ENSG00000173662	-0.968743631841831	0.617174375416113	NA	6
ENSG00000204859	-0.21837442494912	0.337376103507905	0.662864365025572	6
ENSG00000162413	0.485606483185246	0.00848095258527031	0.147912757140191	6
ENSG00000116273	0.113049971224054	0.44236397182885	0.734378007655685	6
ENSG00000041988	0.290360701800204	0.208030429627506	0.538725131413455	6
ENSG00000007923	0.285639922658963	0.200078984394739	0.52962885149378	6
ENSG00000237436	-0.190691107460869	0.853845208389098	NA	6
ENSG00000171735	-0.130399369510654	0.402339421216246	0.709498342310262	6
ENSG00000049245	0.159752302692638	0.108883276143955	0.423428062604615	6
ENSG00000269925	-0.0166308333470854	0.986820024778482	NA	6
ENSG00000049246	0.830132745657679	0.0511822351614199	0.321843990463302	6
ENSG00000116288	0.29469138851173	0.0579781640863706	0.339897413181457	6
ENSG00000116285	-0.406839114141393	0.262333899525559	0.59284260239964	6
ENSG00000162426	-0.986879843005887	0.00273216825401772	0.0814259416240491	6
ENSG00000142599	0.296760111125498	0.063033689952614	0.349070222581405	6
ENSG00000074800	-0.0847588599813539	0.714747569259022	0.886494478817508	6
ENSG00000236269	-0.98298189093539	0.497346065904894	NA	6
ENSG00000230679	1.49337239601421	0.285432735667844	NA	6
ENSG00000142583	0.105754916094863	0.842130222174877	0.94387751198664	6
ENSG00000180758	0.100886644889391	0.730088358650858	0.895576366800566	6
ENSG00000228526	-0.44337855480124	0.179287322272462	0.506293859610217	6
ENSG00000234546	-0.332425582429622	0.456619688482232	0.744678702600357	6
ENSG00000281937	-0.154379637973419	0.880017748505516	NA	6
ENSG00000049239	-0.616800612706433	0.0984325484986169	0.412167773136768	6
ENSG00000171621	-0.24100649469108	0.349367813088419	0.673079265413812	6
ENSG00000235263	2.31591825434188	0.134086467473266	NA	6
ENSG00000171612	0.88141489072464	0.012771511252713	0.177240321640015	6
ENSG00000231181	-0.0124941894958116	0.991171012276606	NA	6
ENSG00000188807	0.229777709578654	0.25915739743049	0.588485130904413	6
ENSG00000171608	-0.316244113562586	0.537926013047636	0.794806247980062	6
ENSG00000231789	0.0799951002282764	0.938146850584254	NA	6
ENSG00000171603	-0.662780991570905	0.014542161234712	0.189792283832563	6
