gene	log2FC	p	padj	n
AL627309.1	1.15135729499283	0.149528134936174	0.999925051125472	8
CICP27	1.84857638167861	0.370306373972011	0.999925051125472	8
AL627309.5	2.01043037353627	0.00862711143809371	0.999925051125472	8
AP006222.2	0.974343830460609	0.225178886081671	0.999925051125472	8
AL669831.3	-0.646370370109415	0.621435690380681	0.999925051125472	8
MTND2P28	0.277587660455446	0.216500334616836	0.999925051125472	8
MTCO1P12	-0.257955825004456	0.34484461904438	0.999925051125472	8
MTCO2P12	-0.367402374919706	0.640906018945356	0.999925051125472	8
MTATP6P1	0.0972483814059898	0.766284294356549	0.999925051125472	8
MTCO3P12	-7.83525460048162	NA	NA	8
CICP3	0.476412817922036	0.737897938375515	0.999925051125472	8
AL669831.1	-0.567854320247044	0.275119332317541	0.999925051125472	8
RP11-206L10.3	0.636675567962968	0.409844705235482	0.999925051125472	8
LINC01409	0.129830626893242	0.709279895267702	0.999925051125472	8
AL669831.4	0.15693266756349	0.69365696206404	0.999925051125472	8
FAM87B	0.428575723601172	0.110077637316353	0.999925051125472	8
LINC01128	-0.362373452354281	0.124309227723715	0.999925051125472	8
LINC00115	0.306769385056419	0.349108113896964	0.999925051125472	8
LINC02593	0.32618213003439	0.586991369735672	0.999925051125472	8
SAMD11	0.0253564518675915	0.950022343519818	0.999925051125472	8
NOC2L	-0.0653433288373687	0.607117571836764	0.999925051125472	8
KLHL17	-0.174994666360237	0.352953175482357	0.999925051125472	8
PLEKHN1	-0.264606821963615	0.796759777204182	0.999925051125472	8
AL645608.7	-0.235739456557014	0.647481136275524	0.999925051125472	8
HES4	-0.308876937208999	0.177194947380382	0.999925051125472	8
ISG15	0.113229245998556	0.609751140358027	0.999925051125472	8
AGRN	-0.293061787120838	0.204004447853926	0.999925051125472	8
AL390719.1	-1.8574245440767	0.114365755676724	0.999925051125472	8
C1orf159	-0.0441532118667628	0.750526336731202	0.999925051125472	8
AL390719.3	-0.173121184223091	0.726361585839221	0.999925051125472	8
AL390719.2	0.165085203308052	0.865895215674247	0.999925051125472	8
TTLL10-AS1	-0.243815630162142	0.609118073065388	0.999925051125472	8
TTLL10	0.105935241099115	0.728865755807569	0.999925051125472	8
TNFRSF18	0.453745286219384	0.365911321371045	0.999925051125472	8
TNFRSF4	-0.217015046091033	0.45368249806834	0.999925051125472	8
