gene	log2FC	p	padj	n
WASH7P	2.47207473911524	0.0869426204268288	NA	8
AL627309.1	0.596658893899116	0.296645381687297	0.999070518699245	8
AL627309.5	0.96085216121291	0.232118692638081	0.999070518699245	8
AP006222.2	1.36671042100398	0.040274719057877	0.999070518699245	8
MTND2P28	-0.975373703374082	0.119883128233834	0.999070518699245	8
MTCO1P12	0.125292778115614	0.664880478506463	0.999070518699245	8
MTCO2P12	0.440455121425742	0.646788399087026	NA	8
MTATP6P1	-0.279193591106432	0.46712261309034	0.999070518699245	8
MTCO3P12	-7.36258307302101	NA	NA	8
CICP3	1.26829405656376	0.32512369543566	NA	8
AL669831.1	-0.291954936521488	0.566343709706943	0.999070518699245	8
RP11-206L10.3	0.439319841297709	0.627003428348966	NA	8
LINC01409	0.0831053416656941	0.766838346716785	0.999070518699245	8
AL669831.4	0.0776851408214995	0.861568423919823	0.999070518699245	8
FAM87B	-0.16256972221232	0.599153513293601	0.999070518699245	8
LINC01128	-0.299350044847151	0.325385788228744	0.999070518699245	8
LINC00115	0.00471231473373644	0.989543381168875	0.999070518699245	8
LINC02593	0.0387864680015029	0.947798555482032	0.999070518699245	8
SAMD11	-0.223054848087121	0.695090731436779	0.999070518699245	8
NOC2L	-0.0148708172659577	0.917987341153816	0.999070518699245	8
KLHL17	0.179841498512952	0.431219862770723	0.999070518699245	8
PLEKHN1	0.917550528543353	0.18606672103105	0.999070518699245	8
AL645608.7	0.444855888604754	0.316062641431011	0.999070518699245	8
HES4	0.377016060936453	0.0926923429931858	0.999070518699245	8
ISG15	0.136967034993338	0.407664472604695	0.999070518699245	8
AGRN	0.383434468803569	0.0295885795313321	0.999070518699245	8
AL390719.1	0.316824507064069	0.724357343549992	NA	8
C1orf159	0.345228605616433	0.101482960907035	0.999070518699245	8
AL390719.3	0.326100874414179	0.605477485503896	0.999070518699245	8
AL390719.2	0.9296741659718	0.350233318205615	NA	8
TTLL10-AS1	0.459035876507421	0.385825212855938	0.999070518699245	8
TTLL10	0.205170336662778	0.553054840439098	0.999070518699245	8
TNFRSF18	-0.108697538847878	0.781187113348039	0.999070518699245	8
TNFRSF4	0.226720583965884	0.435050060136762	0.999070518699245	8
SDF4	0.124877625473896	0.393748534142154	0.999070518699245	8
B3GALT6	-0.0437241506089004	0.79833222544209	0.999070518699245	8
C1QTNF12	0.281843229805326	0.547397615483834	0.999070518699245	8
AL162741.1	1.07694849235337	0.113686952761402	0.999070518699245	8
UBE2J2	0.115648296576155	0.39237054063844	0.999070518699245	8
LINC01786	0.430102222427048	0.33498810249153	0.999070518699245	8
SCNN1D	0.715461041909358	0.00964257072441032	0.999070518699245	8
ACAP3	0.297791073198121	0.0476914309090732	0.999070518699245	8
PUSL1	0.261155650102106	0.245431302762706	0.999070518699245	8
INTS11	0.167650399157337	0.261364023079357	0.999070518699245	8
AL139287.1	0.267643277260749	0.41075438929493	0.999070518699245	8
CPTP	0.177324663694169	0.31729162774355	0.999070518699245	8
TAS1R3	0.420682083916753	0.259830544919263	0.999070518699245	8
DVL1	0.153944045112775	0.264776258426653	0.999070518699245	8
MXRA8	0.0394182507568998	0.77758579937022	0.999070518699245	8
AURKAIP1	0.122488215014074	0.491461286649278	0.999070518699245	8
CCNL2	0.000300356800455243	0.998490797944321	0.999858118994618	8
MRPL20-AS1	-0.0651013045920277	0.652537288563014	0.999070518699245	8
MRPL20	0.0375169765321246	0.762720260538031	0.999070518699245	8
MRPL20-DT	0.381348135387582	0.208357892796415	0.999070518699245	8
ANKRD65	0.355835397323731	0.278545899356639	0.999070518699245	8
AL391244.1	0.630239014117594	0.432710584124193	NA	8
LINC01770	0.0700862977934857	0.850483670850114	0.999070518699245	8
VWA1	0.162949712330126	0.444596885109447	0.999070518699245	8
ATAD3C	0.591419725882702	0.290379999122301	0.999070518699245	8
ATAD3B	-0.00631888959143902	0.980329141479843	0.999070518699245	8
AL645728.2	0.697708469643031	0.408892285359666	NA	8
ATAD3A	0.0829035762660865	0.606871181230556	0.999070518699245	8
TMEM240	0.504726702952731	0.2246615431573	0.999070518699245	8
SSU72	0.0717436445769062	0.604199589654567	0.999070518699245	8
AL645728.1	0.350760029126863	0.449763257134788	0.999070518699245	8
FNDC10	-0.0216730866820314	0.966248945493742	0.999070518699245	8
AL691432.4	-0.228534996617755	0.733952427081623	0.999070518699245	8
AL691432.2	0.222451088946239	0.339661539188424	0.999070518699245	8
MIB2	0.259611050088743	0.158939864689111	0.999070518699245	8
MMP23B	1.30711998425097	0.287465649358125	NA	8
CDK11B	0.221769894122283	0.126210932648316	0.999070518699245	8
SLC35E2B	0.300957365381916	0.116195718189113	0.999070518699245	8
AL691432.1	0.158566650083587	0.582579904948105	0.999070518699245	8
CDK11A	0.852249169474766	0.0848122667220662	0.999070518699245	8
AL031282.2	0.682100820834232	0.00271539078859931	0.68536687726376	8
SLC35E2A	-0.624302841094113	0.00716332140016094	0.999070518699245	8
NADK	0.0365500829789579	0.802475495795831	0.999070518699245	8
GNB1	0.109706780431108	0.256435537866115	0.999070518699245	8
AL109917.1	0.16810633797446	0.763880062818478	0.999070518699245	8
CALML6	0.192978262255158	0.813331378589424	0.999070518699245	8
TMEM52	0.384585758022047	0.474699796357453	0.999070518699245	8
CFAP74	-0.997071219654435	0.484437003131883	NA	8
GABRD	0.287550544657638	0.748564580621315	NA	8
PRKCZ	0.52430697899334	0.490481593857095	0.999070518699245	8
PRKCZ-AS1	-0.323468829695315	0.582263244498344	0.999070518699245	8
FAAP20	0.462652985749362	0.0568946292208055	0.999070518699245	8
AL590822.1	0.170477006521819	0.780857914831043	0.999070518699245	8
SKI	0.0388891446306217	0.901155760788189	0.999070518699245	8
AL590822.3	0.224267191434236	0.467586177199027	0.999070518699245	8
MORN1	0.186627404243649	0.37825506050245	0.999070518699245	8
AL513477.1	0.704835290043465	0.0181687268795803	0.999070518699245	8
AL513477.2	-0.724931137803785	0.3488816627467	NA	8
RER1	0.0314787219585584	0.80085928242265	0.999070518699245	8
PEX10	0.231580463759809	0.1782217275679	0.999070518699245	8
PLCH2	0.0836375313220163	0.778481981501187	0.999070518699245	8
PANK4	0.0491312762780193	0.7542024590267	0.999070518699245	8
HES5	0.524066730553369	0.440107008175338	0.999070518699245	8
AL139246.5	0.166443588326153	0.598176899446688	0.999070518699245	8
TNFRSF14-AS1	0.388673667060497	0.100165664991148	0.999070518699245	8
TNFRSF14	0.122065104179673	0.443271274903576	0.999070518699245	8
AL139246.2	0.537773544467881	0.464525086541696	0.999070518699245	8
AL139246.3	0.237970694132652	0.585412316900436	0.999070518699245	8
PRXL2B	0.248625634144948	0.228549245700179	0.999070518699245	8
MMEL1	0.399263138001214	0.499376106714229	0.999070518699245	8
TTC34	0.247476736564498	0.32849215261884	0.999070518699245	8
PRDM16-DT	0.746461469735761	0.503121760024935	NA	8
PRDM16	0.363070178680327	0.21822598782786	0.999070518699245	8
AL512383.1	0.0183388695814301	0.984522019895333	NA	8
AL590438.1	0.406013065758758	0.593744776854702	0.999070518699245	8
AL354743.2	0.41610423746365	0.701981296807538	NA	8
AL354743.1	1.28710068138605	0.168652219389061	NA	8
ARHGEF16	0.0283730143701462	0.933851049425991	0.999070518699245	8
AL512413.1	0.421392862528385	0.567383665846342	0.999070518699245	8
MEGF6	0.326256686283282	0.206381253237197	0.999070518699245	8
AL513320.1	0.590362703009737	0.36330046208369	0.999070518699245	8
TPRG1L	0.232779585630246	0.119299198230985	0.999070518699245	8
WRAP73	0.0658985801432543	0.682381039196775	0.999070518699245	8
TP73	-0.0156574787073479	0.967594166281104	0.999070518699245	8
TP73-AS1	0.229912897228931	0.316529088466973	0.999070518699245	8
SMIM1	-0.117794757990521	0.848797607030437	0.999070518699245	8
LRRC47	0.0133344508596471	0.917782070551086	0.999070518699245	8
RN7SL574P	-0.290295906333113	0.722087213348442	NA	8
AL365330.1	-0.433887438433848	0.27092268349624	0.999070518699245	8
CEP104	0.0753799465997791	0.610676830565171	0.999070518699245	8
DFFB	0.144341172133041	0.475669737252168	0.999070518699245	8
C1orf174	0.0939896145475597	0.558947753306128	0.999070518699245	8
LINC01134	0.485504113547841	0.248270970020588	0.999070518699245	8
AJAP1	0.519438903012277	0.169397889786188	0.999070518699245	8
Z98886.1	0.218598394124864	0.876233402296024	NA	8
NPHP4	0.416224882227442	0.00481666197621299	0.865442981814156	8
KCNAB2	0.402495288655025	0.076652226691191	0.999070518699245	8
CHD5	-0.0591021730413239	0.934249833351342	0.999070518699245	8
RPL22	-0.0395543972989122	0.747759017691862	0.999070518699245	8
RNF207-AS1	0.562045821532433	0.333877120822458	0.999070518699245	8
RNF207	0.511820491708474	0.0383391438742992	0.999070518699245	8
ICMT	0.00248286869093334	0.982628321389813	0.999070518699245	8
LINC00337	0.874285709957782	0.260226753056743	0.999070518699245	8
GPR153	0.460977028194242	0.00685118871200243	0.999070518699245	8
ACOT7	0.173593218270146	0.409987636549288	0.999070518699245	8
AL031848.2	-0.24559982290852	0.702179570902316	0.999070518699245	8
HES2	-0.502440225131834	0.382678520441545	0.999070518699245	8
ESPN	0.378451586544328	0.362798270787101	0.999070518699245	8
TNFRSF25	-0.0437834098333651	0.850597698941652	0.999070518699245	8
PLEKHG5	-0.372953017276034	0.0877680430615028	0.999070518699245	8
NOL9	-0.0173540814417508	0.880370237008092	0.999070518699245	8
AL591866.1	0.0460193995140575	0.917174920190825	0.999070518699245	8
TAS1R1	-0.115270021074337	0.880562482511025	0.999070518699245	8
ZBTB48	0.0600915906785263	0.689233575265603	0.999070518699245	8
KLHL21	0.122223959322946	0.537342883556538	0.999070518699245	8
PHF13	0.0350532036391977	0.838707238447079	0.999070518699245	8
THAP3	0.0298345114613709	0.882080240322988	0.999070518699245	8
DNAJC11	-0.0458457589135002	0.73663613934214	0.999070518699245	8
snoU13	-0.124468128213336	0.418754557949768	0.999070518699245	8
CAMTA1-DT	-0.276474983707511	0.685967370714819	0.999070518699245	8
